28
1,26,9
1,3,7
1,4,7
1,5,8
1,7,10
1,8,5
1,9,2
1,10,9
1,13,8
1,14,3
1,15,3
1,16,6
1,17,5
1,20,10
1,21,2
1,23,10
1,24,4
1,25,6
1,27,2
2,19,7
2,3,4
2,5,2
2,7,8
2,8,4
2,11,6
2,12,5
2,13,4
2,14,7
2,15,10
2,18,3
2,20,8
2,21,5
2,25,1
2,28,10
3,5,3
3,4,8
3,7,8
3,8,10
3,9,4
3,10,2
3,11,5
3,15,8
3,16,6
3,17,3
3,18,7
3,19,10
3,21,1
3,22,8
3,27,1
3,28,8
4,20,4
4,6,8
4,7,5
4,9,1
4,10,5
4,12,9
4,15,6
4,18,6
4,22,5
4,23,7
4,25,10
4,27,1
4,28,4
5,23,3
5,6,5
5,8,7
5,11,10
5,15,8
5,17,10
5,18,1
5,20,7
5,21,2
5,22,4
5,24,10
5,26,3
5,27,6
5,28,6
6,20,4
6,8,8
6,10,3
6,11,7
6,13,9
6,14,2
6,15,9
6,16,10
6,19,6
6,21,1
6,22,9
6,23,7
6,25,7
6,28,5
7,23,8
7,9,3
7,10,2
7,12,4
7,13,9
7,14,4
7,15,7
7,16,3
7,17,4
7,18,5
7,19,3
7,20,2
7,26,6
8,13,3
8,11,6
8,14,3
8,16,10
8,18,3
8,19,8
8,20,9
8,22,6
8,23,10
8,24,7
8,26,5
8,27,10
9,27,8
9,11,3
9,12,2
9,14,6
9,15,8
9,19,2
9,20,2
9,21,7
9,22,1
9,25,10
10,12,2
10,18,10
10,21,9
10,23,10
10,25,10
10,26,10
11,19,6
11,13,6
11,15,1
11,17,10
11,20,10
11,22,8
11,23,8
11,24,10
11,25,9
11,28,2
12,26,7
12,16,9
12,17,5
12,18,4
12,20,4
12,22,9
12,24,10
12,25,9
13,25,1
13,16,1
13,17,9
13,19,9
13,20,5
13,23,1
13,26,1
13,28,2
14,22,8
14,15,1
14,16,10
14,17,2
14,18,3
14,19,7
14,21,6
14,23,4
14,24,10
14,25,6
14,28,3
15,27,6
15,16,10
15,18,3
15,20,5
15,21,10
15,23,7
15,24,3
16,20,7
16,18,3
16,19,1
16,21,10
16,28,4
17,28,1
17,20,9
17,25,9
18,26,5
18,19,10
18,20,1
18,21,1
18,25,3
18,27,9
19,25,4
19,20,3
19,21,6
19,23,9
19,26,10
19,27,8
20,28,6
20,23,3
20,24,1
20,25,2
20,26,8
20,27,8
21,24,1
21,22,3
21,25,9
21,26,8
22,27,2
22,24,5
22,25,9
22,28,8
23,26,4
23,25,9
24,26,4
25,26,2
26,27,9
26,28,7
27,28,2
