18
1,14,2
1,3,10
1,4,10
1,8,4
1,11,7
1,12,5
1,17,5
2,11,1
2,7,6
2,12,9
2,17,8
3,16,10
3,4,6
3,5,8
3,6,8
3,9,1
3,13,3
3,14,10
3,15,8
3,17,6
4,15,1
4,6,4
4,7,3
4,8,6
4,9,4
4,10,7
4,13,5
4,16,7
4,18,2
5,11,10
5,6,9
5,8,8
5,10,8
5,13,4
5,17,1
6,12,2
6,8,4
6,10,5
6,15,8
6,16,5
6,18,8
7,14,8
7,9,2
7,10,1
7,12,7
7,13,3
7,16,1
7,17,8
7,18,10
8,17,5
8,10,2
8,11,4
8,13,9
8,14,4
8,15,7
8,16,1
9,18,5
9,11,3
9,12,8
9,14,8
9,15,9
9,16,5
10,14,6
10,15,4
10,18,1
11,17,10
11,12,3
11,18,10
12,16,10
12,14,3
12,17,4
13,18,3
13,14,8
13,15,8
13,16,5
13,17,4
14,17,3
15,18,8
15,16,1
15,17,2
16,17,3
17,18,5
