30
1,28,1
1,2,1
1,3,1
1,4,1
1,7,1
1,8,1
1,10,1
1,11,1
1,13,1
1,14,1
1,15,1
1,16,1
1,17,1
1,19,1
1,20,1
1,21,1
1,24,1
1,25,1
2,30,1
2,4,1
2,5,1
2,6,1
2,8,1
2,9,1
2,13,1
2,15,1
2,18,1
2,20,1
2,21,1
2,22,1
2,24,1
3,18,1
3,4,1
3,5,1
3,6,1
3,7,1
3,8,1
3,9,1
3,11,1
3,14,1
3,16,1
3,17,1
3,21,1
3,23,1
3,24,1
3,26,1
3,27,1
3,29,1
3,30,1
4,28,1
4,6,1
4,7,1
4,8,1
4,9,1
4,10,1
4,11,1
4,12,1
4,16,1
4,22,1
4,23,1
4,26,1
4,27,1
4,29,1
4,30,1
5,16,1
5,7,1
5,8,1
5,12,1
5,13,1
5,14,1
5,15,1
5,19,1
5,22,1
5,23,1
5,24,1
5,25,1
5,26,1
5,28,1
5,29,1
5,30,1
6,19,1
6,7,1
6,8,1
6,9,1
6,14,1
6,17,1
6,23,1
6,27,1
6,28,1
7,14,1
7,11,1
7,17,1
7,18,1
7,20,1
7,21,1
7,23,1
7,24,1
7,27,1
7,29,1
8,12,1
8,10,1
8,14,1
8,17,1
8,18,1
8,20,1
8,23,1
8,29,1
8,30,1
9,27,1
9,16,1
9,17,1
9,21,1
9,23,1
9,25,1
9,28,1
9,29,1
9,30,1
10,21,1
10,11,1
10,13,1
10,16,1
10,17,1
10,19,1
10,20,1
10,24,1
10,28,1
10,30,1
11,15,1
11,14,1
11,16,1
11,17,1
11,19,1
11,20,1
11,23,1
11,24,1
11,25,1
11,27,1
11,28,1
11,29,1
11,30,1
12,22,1
12,14,1
12,16,1
12,17,1
12,19,1
12,20,1
12,23,1
12,25,1
12,28,1
13,15,1
13,16,1
13,21,1
13,25,1
13,27,1
13,29,1
13,30,1
14,23,1
14,15,1
14,20,1
14,22,1
14,24,1
14,26,1
14,28,1
14,29,1
14,30,1
15,25,1
15,19,1
15,29,1
16,30,1
16,17,1
16,18,1
16,19,1
16,22,1
16,23,1
16,25,1
16,26,1
16,29,1
17,18,1
17,21,1
17,26,1
17,27,1
17,28,1
17,29,1
17,30,1
18,19,1
18,20,1
18,21,1
18,22,1
18,23,1
18,24,1
18,25,1
18,30,1
19,20,1
19,21,1
19,23,1
19,25,1
19,29,1
19,30,1
20,29,1
20,21,1
20,23,1
20,26,1
20,27,1
20,28,1
21,29,1
21,25,1
21,26,1
21,27,1
21,28,1
22,26,1
23,28,1
23,25,1
23,26,1
23,27,1
23,29,1
23,30,1
24,25,1
24,27,1
24,28,1
25,30,1
25,26,1
25,28,1
26,28,1
26,27,1
26,29,1
27,30,1
27,29,1
28,29,1
29,30,1
